TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;9,03;;-10,97;0,87;0,42;17,80;-0,98;-10,49;-117,09;-178,99;-61,90;0,46;1,15;11,55;-0,54;1,19;-7,96;-3,83;-1,41;0,48;0,52;0,37;5,83;;5.089.434,81;10,34;-0,82;0,03;1.068.184.128,48
ABCB4;14,82;4,79;10,16;0,76;0,08;1,96;-1,80;5,46;-30,83;-30,83;;;0,55;0,76;-0,09;3,23;7,51;0,74;;0,10;0,90;0,14;1,17;-2,60;8.416.400,31;19,41;1,46;-0,29;3.273.602.648,94
ABEV3;16,50;2,97;20,11;3,17;1,95;52,95;27,05;20,69;15,38;14,54;-0,85;-0,17;4,16;50,14;-2,70;1,16;15,74;9,68;17,16;0,61;0,37;0,47;4,56;-1,85;320.871.563,62;5,21;0,82;0,76;259.697.514.483,00
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;94.201,44;-1,21;-0,38;-0,58;25.439.770,20
AERI3;8,49;;57,47;6,73;2,74;11,13;9,30;5,13;31,66;33,89;2,23;0,47;2,95;8,97;-9,26;1,77;11,72;4,78;9,41;0,41;0,59;0,93;;;37.574.259,58;1,26;0,15;2,09;6.505.152.241,44
AESB3;14,40;1,18;;3,07;0,60;;;;;;;2,42;;10,43;-0,77;1,34;0,00;0,00;;0,19;0,81;0,00;;;18.486.817,38;4,69;0,00;;5.747.133.888,00
AFLT3;9,33;13,77;31,17;3,04;2,78;67,61;54,72;52,63;29,98;28,23;-1,76;-0,18;16,41;10,69;-3,88;13,16;9,76;8,93;9,29;0,92;0,08;0,17;5,56;8,17;30.709,92;3,07;0,30;-1,32;588.580.251,00
AGRO3;34,00;2,09;14,30;1,61;0,98;41,46;34,26;18,64;7,78;8,57;0,79;0,16;2,67;6,07;-1,70;1,61;11,27;6,83;13,49;0,61;0,39;0,37;13,49;-7,94;40.388.206,54;21,09;2,38;1,40;2.791.546.234,00
AHEB3;21,01;;-7,50;49,70;0,59;26,77;-5,66;-11,20;-14,85;-10,65;4,21;-14,09;0,84;-5,61;-0,81;0,72;-662,49;-7,88;-334,66;0,01;0,99;0,70;1,88;;37.699,67;0,42;-2,80;0,17;179.641.869,77
AHEB5;20,00;;-7,14;47,31;0,56;26,77;-5,66;-11,20;-14,14;-10,65;4,21;-14,09;0,80;-5,34;-0,77;0,72;-662,49;-7,88;-334,66;0,01;0,99;0,70;1,88;;14.093,00;0,42;-2,80;0,16;179.641.869,77
AHEB6;22,00;;-7,86;52,04;0,62;26,77;-5,66;-11,20;-15,55;-10,65;4,21;-14,09;0,88;-5,88;-0,85;0,72;-662,49;-7,88;-334,66;0,01;0,99;0,70;1,88;;17.600,00;0,42;-2,80;0,18;179.641.869,77
ALLD3;18,01;;;;;;;;;;;;;;;;;;;;;;;;1.918.752,20;;0,00;;1.629.627.447,89
