Papel,P/L_x,pontosPL,ROE_x,pontosROE,soma,Cotação,P/L_y,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE_y,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
MBLY3,-57.14,897,215.23,924,1821,21.60,-57.14,-122.98,3.814,0.0,7.416,-52.18,-128.55,-19.06,-133.81,304.19,-2.97,-6.67,0.83,-11.78,215.23,10719400.0,-18704000.0,-6.29,48.18
LCSA4,-337.52,929,67.55,890,1819,35.09,-337.52,-228.00,79.738,0.0,125.308,-202.27,-505.80,-96.61,-506.56,-506.56,-15.77,-23.63,0.29,-28.74,67.55,0.0,-377568000.0,-0.35,6354.07
PRTX3,-32.27,879,450.37,933,1812,2.77,-32.27,-145.32,297.651,0.0,1.400,-2.57,-97.11,-1.43,-128.99,37.19,-306.50,-922.47,0.05,-1.50,450.37,0.0,-18917000.0,-49.85,307.96
LCSA3,-120.23,914,67.55,889,1803,12.50,-120.23,-81.22,28.405,0.0,44.638,-72.05,-180.18,-34.41,-180.95,-180.95,-15.77,-23.63,0.29,-28.74,67.55,0.0,-377568000.0,-0.35,6354.07
BSEV3,-13.25,848,131.66,914,1762,8.14,-13.25,-17.44,0.799,0.0,0.775,-4.46,5.26,-1.06,9.26,3.94,15.19,-6.03,0.64,16.72,131.66,1706720.0,-476211000.0,-14.52,7.46
RSUL4,-20.93,867,69.78,892,1759,205.00,-20.93,-14.61,0.612,0.0,0.504,-1.27,3.63,-0.71,3.75,3.22,16.87,-2.92,0.45,15.20,69.78,17956.2,-8182000.0,-1.59,15.97
BRKM5,-5.24,819,303.85,927,1746,44.00,-5.24,-15.93,0.599,0.0,0.407,6.04,4.88,-0.63,8.27,5.29,12.28,-11.98,1.20,12.26,303.85,129299000.0,-2202310000.0,-19.03,4.83
BRKM3,-5.03,818,303.85,928,1746,42.25,-5.03,-15.29,0.575,0.0,0.391,5.80,4.68,-0.60,8.08,5.17,12.28,-11.98,1.20,12.26,303.85,1148350.0,-2202310000.0,-19.03,4.83
BRKM6,-2.69,786,303.85,929,1715,22.55,-2.69,-8.16,0.307,0.0,0.209,3.10,2.50,-0.32,5.90,3.77,12.28,-11.98,1.20,12.26,303.85,7998.85,-2202310000.0,-19.03,4.83
DUQE3,-1.58,750,715.74,940,1690,28.00,-1.58,-11.29,12.103,0.0,0.428,-0.74,-1.65,-0.57,-2.70,-2.98,-732.92,-767.60,0.33,-28.21,715.74,0.0,-6987000.0,-7.19,-42.70
