Papel,P/L,pontosPL,ROE,pontosROE,soma
MBLY3,-55.18,895,215.23,923,1818
LCSA4,-337.52,928,67.55,889,1817
PRTX3,-32.27,878,450.37,932,1810
LCSA3,-120.23,913,67.55,888,1801
BSEV3,-13.18,848,131.66,913,1761
RSUL4,-20.93,866,69.78,891,1757
BRKM5,-5.02,817,303.85,928,1745
BRKM3,-4.74,812,303.85,926,1738
BRKM6,-2.62,782,303.85,927,1709
DUQE3,-1.58,749,715.74,939,1688
FRIO3,-1.7,757,228.83,924,1681
FHER3,-1.9,767,134.48,914,1681
BBRK3,-0.75,727,423.67,929,1656
JFEN3,-2.7,786,48.39,870,1656
PMAM3,-0.46,714,433.86,930,1644
PMAM4,-0.29,705,433.86,931,1636
DUQE4,-0.17,697,715.74,938,1635
AZUL4,-1.26,741,76.58,894,1635
OGXP3,-2.15,770,45.53,864,1634
ADHM3,-4.09,808,31.47,812,1620
VIVR3,-0.63,722,79.54,897,1619
GSHP3,-0.19,699,100.93,905,1604
GOLL4,-1.34,745,41.56,854,1599
PLAS3,-0.55,719,61.84,880,1599
DMMO3,-0.91,734,43.56,858,1592
SLED3,-0.16,696,76.98,895,1591
SLED4,-0.1,690,76.98,896,1586
MILK33,-0.02,664,165.12,919,1583
ARTE3,-0.04,676,102.9,907,1583
VTLM3,-2.07,768,31.47,813,1581
ARTE4,-0.03,669,102.9,906,1575
ARLA4,-2.21,772,28.0,785,1557
BDLL4,-0.22,702,40.12,852,1554
FBMC3,-3.78,802,24.19,751,1553
BDLL3,-0.2,701,40.12,851,1552
ARLA3,-1.62,754,28.0,784,1538
AZEV3,-3157.77,937,15.36,601,1538
AZEV4,-1874.26,935,15.36,602,1537
MNSA4,0.0,614,145.7,917,1531
GAFP3,-0.04,678,38.79,849,1527
GAFP4,-0.02,665,38.79,850,1515
MNSA3,0.0,592,145.7,916,1508
CSPC3,0.0,641,45.33,863,1504
CEED4,-0.43,713,28.26,787,1500
MLPA3,0.0,639,45.13,859,1498
CSPC4,0.0,634,45.33,862,1496
FGUI3,-12.41,843,17.32,652,1495
CEED3,-0.39,709,28.26,786,1495
CORR3,0.05,562,460.8,933,1495
OSAO4,-0.0,612,61.84,881,1493
TEFC11,0.0,622,46.72,869,1491
HETA4,-0.03,673,31.0,811,1484
CORR4,0.37,545,460.8,934,1479
BUET3,-5.46,821,17.79,657,1478
HETA3,-0.01,662,31.0,810,1472
PALF11,0.11,556,115.81,910,1466
ILLS4,0.0,635,36.09,829,1464
CELM3,-0.67,725,23.41,739,1464
BUET4,-4.04,807,17.79,656,1463
PALF5,0.21,552,115.81,909,1461
PALF3,0.25,551,115.81,908,1459
TRPN3,0.44,543,122.35,912,1455
ODER3,0.0,600,41.79,855,1455
ENER3,0.0,625,33.07,825,1450
ENER6,0.0,624,33.07,824,1448
ENER5,0.0,616,33.07,826,1442
FBMC4,-0.09,688,24.19,752,1440
PEAB3,1.69,533,82.34,899,1432
DHBI3,-0.83,733,21.03,696,1429
PEAB4,1.87,529,82.34,898,1427
MLPA4,0.01,567,45.13,860,1427
MLPA12,0.01,565,45.13,861,1426
MRFG3,3.79,507,157.62,918,1425
CFLU4,0.0,602,32.15,818,1420
ETER4,3.21,513,73.87,893,1406
HOOT4,-0.54,718,20.13,687,1405
INEP3,-0.67,724,19.63,674,1398
TOYB4,-47.96,892,11.31,504,1396
INEP4,-0.61,721,19.63,673,1394
BTTL4,3.08,516,61.18,878,1394
TOYB3,-43.94,887,11.31,505,1392
STRP4,-2.85,787,14.95,596,1383
CPFP4,6.26,457,198.46,922,1379
EBEN4,1.83,531,37.88,846,1377
DHBI4,-0.04,679,21.03,695,1374
VAGV3,-0.05,680,20.73,693,1373
TROR3,-0.03,671,21.14,702,1373
LETO5,-0.83,732,17.05,641,1373
TNEP4,0.0,643,22.8,729,1372
CLSC6,0.0,595,26.13,777,1372
CESP4,0.0,623,23.99,747,1370
VAGV4,-0.04,674,20.73,694,1368
TROR4,-0.02,666,21.14,700,1366
MTBR3,2.09,524,36.97,842,1366
MTBR4,2.22,521,36.97,839,1360
IGUA3,-12.52,844,11.52,514,1358
FGUI4,-0.39,708,17.32,650,1358
IGUA6,-12.4,842,11.52,516,1358
IGUA5,-12.26,841,11.52,515,1356
ETER3,6.18,459,73.87,892,1351
SEBB3,0.0,618,23.01,731,1349
GPCP3,5.54,480,46.31,868,1348
ELPL4,3.22,512,36.34,836,1348
EQMA6B,0.0,610,23.36,738,1348
LETO3,-0.32,706,17.05,642,1348
CEBR3,6.16,461,63.74,884,1345
TBLE6,3.11,515,36.14,830,1345
TASA4,8.17,408,623.63,936,1344
WIZS3,6.4,453,68.46,890,1343
TBLE5,3.5,510,36.14,832,1342
CYRE4,1.93,526,31.98,815,1341
SULT4,0.09,559,26.88,781,1340
EQMA5B,0.0,601,23.36,737,1338
SULT3,0.12,555,26.88,782,1337
TARP11,0.82,537,29.89,797,1334
CEBR6,6.56,451,63.74,883,1334
TASA3,8.54,396,623.63,937,1333
ALBA3,0.0,655,19.77,675,1330
TSPP4,1.24,535,29.88,793,1328
CEBR5,6.63,445,63.74,882,1327
TSPP3,1.72,532,29.88,794,1326
