Papel,P/L,pontosPL
DMVF3,3846.65,1
UBBR3,1466.61,2
UBBR11,1201.81,3
LWSA3,815.32,4
PRBC4,808.37,5
UBBR4,610.27,6
DTCY3,489.67,7
SEQL3,473.0,8
TFCO4,471.48,9
ORVR3,439.18,10
RHDS4,363.45,11
MGLU3,362.52,12
SQIA3,321.0,13
ELEV3,312.39,14
RDOR3,306.84,15
RDNI3,251.85,16
CASH3,208.21,17
TMAR3,166.16,18
OMGE3,158.81,19
ALPA4,158.77,20
HBTS5,155.97,21
EVEN3,150.58,22
ARZZ3,149.97,23
NGRD3,147.92,24
FLCL5,145.87,25
PETZ3,145.55,26
VULC4,140.03,27
CCRO3,136.41,28
ALPA3,135.95,29
FLCL3,134.2,30
NETC4,127.89,31
RAIL3,127.6,32
LOGN3,127.15,33
BOAS3,124.41,34
NETC3,123.1,35
FLCL6,115.65,36
TMAR5,114.35,37
TMAR6,112.59,38
CASN3,108.09,39
LAME4,107.13,40
PQUN3,104.31,41
PQUN4,104.31,42
LAME3,99.96,43
YDUQ3,97.59,44
WEST3,87.85,45
RADL3,84.02,46
RLOG3,82.76,47
ROMI4,77.76,48
CTPC3,76.36,49
DAGB33,71.75,50
HAPV3,70.56,51
GNDI3,68.57,52
WEGE3,68.55,53
AMBP3,68.38,54
SUBA3,61.95,55
ESPA3,61.44,56
TOTS3,60.93,57
VULC3,60.29,58
AEDU3,59.34,59
AERI3,59.29,60
GVTT3,57.38,61
ELCA3,57.29,62
MERC3,53.48,63
FFTL4,53.34,64
FFTL3,53.22,65
PLTO5,53.09,66
CBEE3,52.11,67
PNVL3,51.93,68
PNVL4,51.77,69
PLTO6,50.81,70
CSAN3,49.31,71
FESA3,48.58,72
GLOB4,48.51,73
BMOB3,48.37,74
MOVI3,47.87,75
ELCA4,46.85,76
MOSI3,46.61,77
RENT3,46.02,78
VAMO3,45.97,79
LEVE4,45.84,80
LJQQ3,45.73,81
CEGR3,44.25,82
HBOR3,44.22,83
PRGA4,44.04,84
CEPE3,44.01,85
FESA4,43.91,86
BMIN3,43.87,87
UOLL4,43.52,88
PETR4,43.49,89
PGMN3,43.48,90
PTQS4,43.43,91
PETR3,42.94,92
CPLE5,42.42,93
ALSO3,41.85,94
IMCH3,41.83,95
POWE3,41.75,96
LUXM4,41.66,97
BMIN4,41.62,98
RAIA3,41.22,99
VIVA3,41.08,100
MRSA3B,40.37,101
MRSA3B,40.37,102
BPAC3,40.0,103
RHDS3,39.98,104
PTNT3,39.12,105
ALSC3,38.57,106
BSLI3,37.14,107
PRIO3,36.76,108
VIGR3,36.57,109
USIM3,35.89,110
ENAT3,35.4,111
USIM6,35.39,112
TNLP3,35.39,113
CTIP3,35.13,114
LCAM3,34.73,115
USIM5,34.59,116
CCPR3,34.47,117
UGPA4,33.82,118
ELEK4,33.27,119
TSEP3,33.05,120
FLRY3,33.0,121
EQPA6,32.83,122
CREM3,32.69,123
BMKS3,31.61,124
DTEX3,31.59,125
IGTA3,31.43,126
LREN3,30.82,127
NATU3,30.77,128
WSON33,30.56,129
BSCT5,30.51,130
GPAR3,29.97,131
FIGE3,29.89,132
JPSA3,29.86,133
AFLT3,29.57,134
BRGE6,29.57,135
SIMH3,29.54,136
SBSP3,29.39,137
BPAC11,28.33,138
SEBB11,28.01,139
PDTC3,27.8,140
B3SA3,27.47,141
RPSA4,27.33,142
DOHL3,27.01,143
MTRE3,26.93,144
MELK3,26.66,145
AMBV3,26.65,146
LEVE3,26.6,147
AMBV4,26.59,148
FIGE4,26.42,149
UGPA3,26.16,150
SCAR3,26.1,151
MRSA5B,26.08,152
MRSA5B,26.08,153
TNLP4,25.96,154
MLFT4,25.72,155
GMAT3,25.54,156
BRGE5,25.52,157
CRUZ3,25.31,158
POMO4,25.07,159
JOPA4,24.89,160
ALLL3,24.77,161
ESTC11,24.66,162
BSLI4,24.6,163
MAGS3,24.49,164
ELEK3,24.46,165
BPAN4,23.97,166
TSEP4,23.97,167
LIGH3,23.81,168
TMGC3,23.77,169
TVIT3,23.46,170
POMO3,23.16,171
RSIP3,22.7,172
RSIP4,22.7,173
BSCT6,22.49,174
GGBR4,22.4,175
RPAD5,22.32,176
CRTP3,22.26,177
BPAC5,22.15,178
ENEV3,21.76,179
MERC4,21.54,180
LOGG3,21.46,181
ABEV3,21.37,182
PARD3,21.37,183
REDE3,21.25,184
CIEL3,21.22,185
BRPR3,21.16,186
QUAL3,21.06,187
ALLL4,20.72,188
VALE3,20.67,189
ALLL11,20.59,190
VVAR3,20.56,191
INTB3,20.47,192
AEDU11,20.13,193
AUTM3,20.0,194
ODPV3,19.93,195
BAUH4,19.92,196
UCAS3,19.65,197
CARD3,19.48,198
TGMA3,19.4,199
TMCP4,19.31,200
OFSA3,19.17,201
UNIP6,19.0,202
ENGI3,18.97,203
SMLE3,18.88,204
WLMM4,18.87,205
CALI3,18.8,206
EQPA5,18.75,207
UNIP5,18.75,208
GRND3,18.68,209
TMCP3,18.58,210
BFIT3,18.49,211
GGBR3,18.43,212
EQPA7,18.35,213
EZTC3,18.3,214
LIPR3,18.2,215
CGAS3,18.11,216
SLCE3,18.05,217
ODER4,18.05,218
UCOP4,18.01,219
CURY3,17.97,220
CGAS5,17.85,221
BMTO3,17.84,222
UNIP3,17.66,223
ELET5,17.64,224
CRFB3,17.56,225
BFIT4,17.55,226
KEPL3,17.49,227
JBSS3,17.27,228
BMTO4,17.27,229
RPAD3,17.16,230
TIMP3,17.13,231
GOAU4,17.08,232
LAVV3,16.98,233
BRGE11,16.84,234
COCE5,16.8,235
DIRR3,16.73,236
DPPI3,16.65,237
DURA3,16.62,238
HYPE3,16.56,239
TIMS3,16.54,240
AESL4,16.5,241
AESL3,16.5,242
WHRL4,16.45,243
ATOM3,16.44,244
BRGE3,16.43,245
DURA4,16.35,246
BRAP4,16.3,247
ILMD4,16.28,248
VIVT4,16.07,249
CRTP5,15.98,250
MRVE3,15.87,251
VIVT3,15.84,252
ILMD3,15.73,253
RANI3,15.53,254
CEPE6,15.47,255
BEMA3,15.32,256
TMGC13,15.31,257
BRGE8,15.23,258
RANI4,15.22,259
EEEL4,15.12,260
FRAS3,15.07,261
RDCD3,15.07,262
COCE3,15.04,263
CSNA3,15.03,264
TCOC3,14.9,265
BMGB11,14.89,266
ASAI3,14.86,267
ELUM4,14.79,268
WHRL3,14.77,269
BOBR4,14.74,270
KSSA3,14.66,271
TNCP3,14.59,272
MULT3,14.57,273
EALT3,14.56,274
GOAU3,14.5,275
WEGE4,14.43,276
TNCP4,14.42,277
BRFS3,14.32,278
PFRM3,14.27,279
TMGC11,14.26,280
BRAP3,14.08,281
EUCA3,14.07,282
ENMT3,14.04,283
ENMT4,14.04,284
ARCE3,14.01,285
TEND3,14.0,286
WLMM3,13.92,287
EEEL3,13.8,288
ITUB4,13.8,289
RPAD6,13.79,290
EQPA3,13.71,291
CPRE3,13.66,292
SMLS3,13.6,293
BBDC4,13.48,294
RGEG3,13.42,295
GETI4,13.2,296
GETI3,13.19,297
JSLG3,13.15,298
