Papel,ROE,pontosROE
VPSC3,-8246.83,1
VPSC4,-8246.83,2
CVCB3,-2626.49,3
AELP3,-2363.83,4
TCNO4,-1260.71,5
TCNO3,-1260.71,6
ECOR3,-754.68,7
LLIS3,-724.31,8
AHEB3,-662.49,9
AHEB5,-662.49,10
AHEB6,-662.49,11
SDIA3,-590.66,12
SDIA4,-590.66,13
BBTG13,-500.0,14
BBTG12,-500.0,15
BPHA3,-402.5,16
RIPI3,-257.61,17
RIPI4,-257.61,18
BECE4,-255.2,19
BECE3,-255.2,20
DFVA3,-193.42,21
DFVA4,-193.42,22
SUZB6,-148.3,23
SUZB5,-148.3,24
SUZB3,-148.3,25
SUZA4,-145.25,26
OIBR4,-135.84,27
OIBR3,-135.84,28
ATMP3,-128.42,29
IENG5,-122.41,30
IENG3,-122.41,31
PTIP4,-121.74,32
PTIP3,-121.74,33
SEDU3,-112.29,34
ARCZ3,-103.98,35
ARCZ6,-103.98,36
BERG3,-102.71,37
VVAX4,-92.03,38
VVAX3,-92.03,39
IDVL11,-91.76,40
IDVL4,-91.76,41
IDVL3,-91.76,42
BICB4,-91.0,43
BICB3,-91.0,44
LFFE3,-83.1,45
LFFE4,-83.1,46
AVLL3,-78.14,47
ELMD3,-74.15,48
SPRI5,-73.82,49
SPRI3,-73.82,50
SPRI6,-73.82,51
MTIG3,-69.4,52
MTIG4,-69.4,53
BISA3,-66.94,54
KLBN3,-65.29,55
KLBN11,-65.29,56
KLBN4,-65.29,57
CAFE4,-64.17,58
CAFE3,-64.17,59
ITEC3,-62.76,60
LGLO4,-62.51,61
LIXC4,-57.85,62
LIXC3,-57.85,63
SHOW3,-56.42,64
ASSM4,-50.73,65
ASSM3,-50.73,66
PRML3,-44.84,67
COGN3,-43.95,68
KROT11,-43.95,69
KROT4,-43.95,70
AMAR3,-43.57,71
CTKA3,-42.05,72
CTKA4,-42.05,73
MEAL3,-40.09,74
CGOS4,-39.02,75
CGOS3,-39.02,76
BIOM4,-36.96,77
BIOM3,-36.96,78
TLCP4,-35.04,79
TLCP3,-35.04,80
ECPR4,-35.04,81
ECPR3,-35.04,82
CEDO3,-31.63,83
CEDO4,-31.63,84
SGPS3,-29.02,85
SZPQ4,-28.0,86
GPIV33,-27.54,87
ALPK3,-25.21,88
BAHI5,-25.18,89
BAHI3,-25.18,90
BAHI11,-25.18,91
BAHI4,-25.18,92
CTNM4,-25.14,93
CTNM3,-25.14,94
MEDI3,-25.13,95
EMBR3,-24.62,96
VGOR3,-24.29,97
VGOR4,-24.29,98
BKBR3,-24.24,99
RRRP3,-24.07,100
TCSA3,-21.25,101
VLID3,-19.05,102
PNOR6,-18.84,103
PNOR5,-18.84,104
SEMP3,-16.81,105
TANC4,-16.7,106
TAMM3,-16.7,107
TAMM4,-16.7,108
BOBR4,-16.3,109
BOBR3,-16.3,110
